date,product,usd,tons
1999-10-01,soybean_oil,79252979,193358.4636952877
1999-10-01,soybeans,58798504,322330.2936935425
1999-11-01,soybean_meal,111736022,694001.457423307
1999-11-01,soybean_oil,12170959,29967.38897144794
1999-11-01,soybeans,34266290,186162.7956564277
1999-12-01,soybean_meal,152802341,958281.7733383179
1999-12-01,soybean_oil,49148322,128225.1619992256
1999-12-01,soybeans,13869005,80085.8203125
2000-01-01,soybean_meal,69173136,428397.942741394
2000-01-01,soybean_oil,13128993,34896.98502635956
2000-01-01,soybeans,5507660,33611.62051010132
2000-02-01,soybean_meal,95186607,565905.8483200073
2000-02-01,soybean_oil,9713209,25081.64500427246
2000-02-01,soybeans,9698070,50705.828125
2000-03-01,soybean_meal,91882263,526903.0845680237
2000-03-01,soybean_oil,16247964,44885.82607603073
2000-03-01,soybeans,90880800,492574.9175049067
2000-04-01,soybean_meal,123314456,716362.0865440369
2000-04-01,soybean_oil,31149649,87472.9909863472
2000-04-01,soybeans,275894556,1457103.375999451
2000-05-01,soybean_meal,194299643,1132390.383483887
2000-05-01,soybean_oil,40170959,107678.5432744026
2000-05-01,soybeans,303191723,1596053.074985504
2000-06-01,soybean_meal,159880179,904308.8568725586
2000-06-01,soybean_oil,37398027,104527.1757221222
2000-06-01,soybeans,331366912,1715344.965698242
2000-07-01,soybean_meal,171029189,973198.8163243085
2000-07-01,soybean_oil,39870806,117549.0759210587
2000-07-01,soybeans,331849173,1739688.032539368
2000-08-01,soybean_meal,173066685,1000501.719894409
2000-08-01,soybean_oil,55930777,164858.5369880199
2000-08-01,soybeans,361425024,1906998.99597168
2000-09-01,soybean_meal,106820454,601660.0508880615
2000-09-01,soybean_oil,24966770,80542.1329805851
2000-09-01,soybeans,143439685,761186.1053543091
2000-10-01,soybean_meal,157568483,869672.27394104
2000-10-01,soybean_oil,17296401,56735.10699319839
2000-10-01,soybeans,105351981,555225.4602661133
2000-11-01,soybean_meal,160114096,864282.8179473877
2000-11-01,soybean_oil,34120774,117194.3320174217
2000-11-01,soybeans,62305085,328678.9289855957
2000-12-01,soybean_meal,91124957,471850.98777771
2000-12-01,soybean_oil,35438972,119530.375988245
2000-12-01,soybeans,16590185,87952.37041854858
2001-01-01,soybean_meal,174883937,863754.9906768799
